step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
238,1776030607.6020703,0.2342,4047,17280,0.173929,-2.798,0.69,1.143,15,1.368,55,0,0,
239,1776030609.6175656,0.2342,4047,17280,0.160919,-2.627,0.519,1.08,15,1.129,55,0,0,
240,1776030611.625861,0.2342,4047,17280,0.150977,-2.491,0.535,1.11,15,1.03,56,0,0,
241,1776030613.635352,0.2342,4047,17280,0.150977,-2.408,0.482,1.174,15,0.932,56,0,0,
242,1776030615.6422982,0.2342,4047,17280,0.137797,-2.326,0.475,1.108,15,0.868,57,0,0,
243,1776030617.6494024,0.2342,4047,17280,0.127912,-2.36,0.467,1.143,15,0.887,57,0,0,
244,1776030619.6571364,0.2342,4047,17280,0.132534,-2.359,0.358,1.142,15,0.817,58,0,0,
245,1776030621.6652145,0.2343,4049,17280,0.121762,-2.143,0.395,1.117,15,0.682,59,0,2,
246,1776030623.6731043,0.2343,4049,17280,0.112635,-2.023,0.605,1.092,15,0.773,59,0,0,
247,1776030625.6818686,0.2343,4049,17280,0.114998,-1.93,0.75,1.079,15,0.853,60,0,0,
248,1776030627.6904924,0.2344,4050,17280,0.118024,-1.913,0.918,1.061,15,1.002,60,0,1,
249,1776030629.6981905,0.2344,4050,17280,0.131841,-1.827,0.985,1.093,15,1.041,61,0,0,
250,1776030631.711884,0.2344,4050,17280,0.126152,-1.635,0.918,1.092,15,0.945,62,0,0,
251,1776030633.7260625,0.2344,4050,17280,0.110549,-1.588,1.075,1.091,15,1.1,63,0,0,
252,1776030635.7334108,0.2347,4056,17280,0.111978,-1.647,1.278,1.11,15,1.305,63,0,6,
253,1776030637.7451644,0.2354,4068,17280,0.114437,-1.65,1.251,1.113,15,1.278,63,0,12,
254,1776030639.7569702,0.2376,4105,17280,0.117124,-1.353,1.128,1.097,15,1.174,63,0,37,
255,1776030641.7665272,0.238,4112,17280,0.118388,-1.256,0.979,1.129,15,1.054,63,0,7,
256,1776030643.7739367,0.238,4112,17280,0.118388,-1.399,0.911,1.124,15,0.952,63,0,0,
257,1776030645.7831755,0.238,4112,17280,0.119781,-1.629,0.853,1.129,15,0.88,63,0,0,
